name,position,team,xP,total_points
Chris Wood,FWD,Nott'm Forest,4.5,7
Alex Scott,MID,Bournemouth,0,0
Jaden Philogene-Bidace,MID,Aston Villa,0.5,0
Filip Marschall,GK,Aston Villa,1,0
Kalvin Phillips,MID,Man City,0.5,0
Rodrigo Bentancur,MID,Spurs,0,0
Matty Cash,DEF,Aston Villa,2.5,6
Mason Holgate,DEF,Everton,0,0
Jaidon Anthony,MID,Bournemouth,0.5,1
Tariq Lamptey,DEF,Brighton,0,0
Joseph Anang,GK,West Ham,0,0
George Baldock,DEF,Sheffield Utd,0.5,0
Jeff Hendrick,MID,Newcastle,-0.5,0
Mark Gillespie,GK,Newcastle,-0.5,0
Nélson Cabral Semedo,DEF,Wolves,1,0
Kevin Mbabu,DEF,Fulham,0,0
Tyrell Malacia,DEF,Man Utd,0,0
Chris Richards,DEF,Crystal Palace,-0.5,0
Jordan Henderson,MID,Liverpool,0,0
Kyle Walker,DEF,Man City,6.5,6
Vicente Guaita,GK,Crystal Palace,-0.5,0
Braian Ojeda Rodríguez,MID,Nott'm Forest,0,0
Mads Bech Sørensen,DEF,Brentford,0,0
